customer_id,first_purchase,last_purchase,purchase_lines,unique_invoices,total_quantity,total_spend,avg_unit_price,countries,distinct_products,days_active,primary_country,return_count,return_value,customer_tenure_days,net_spend,avg_basket_size,avg_order_value,return_rate,first_purchase_month,country_group,spend_quartile,frequency_segment,recency_days,frequency,monetary,r_score,f_score,m_score,rfm_score,rfm_segment
12346,2010-03-02 13:08:00,2010-06-28 13:53:00,24,2,24,169.36,7.0566666666666675,1,24,2,United Kingdom,1,-103.5,118,65.86000000000001,12.0,84.68,0.5,2010-03,UK,Q1 (Lowest),Occasional (2-3),164,2,169.36,1,2,1,121,Moderate
12347,2010-10-31 14:20:00,2010-12-07 14:57:00,71,2,828,1323.32,2.295070422535211,1,70,2,Iceland,0,0.0,37,1323.32,35.5,661.66,0.0,2010-10,Other,Q3,Occasional (2-3),2,2,1323.32,4,2,3,423,Potential Loyalists
12348,2010-09-27 14:59:00,2010-09-27 14:59:00,19,1,372,221.16,0.7047368421052632,1,19,1,Finland,0,0.0,0,221.16,19.0,221.16,0.0,2010-09,EU,Q1 (Lowest),One-time,73,1,221.16,2,1,1,211,Moderate
12349,2010-04-29 13:20:00,2010-10-28 08:23:00,100,2,991,2221.14,4.2534,1,89,2,Italy,5,-24.15,181,2196.99,50.0,1110.57,2.5,2010-04,EU,Q4 (Highest),Occasional (2-3),42,2,2221.14,3,2,4,324,Potential Loyalists
12351,2010-11-29 15:23:00,2010-11-29 15:23:00,21,1,261,300.93,2.355238095238095,1,21,1,Unspecified,0,0.0,0,300.93,21.0,300.93,0.0,2010-11,Other,Q1 (Lowest),One-time,10,1,300.93,4,1,1,411,Recent Customers
12352,2010-11-12 10:20:00,2010-11-29 10:07:00,18,2,188,343.8,3.033333333333333,1,18,2,Norway,0,0.0,16,343.8,9.0,171.9,0.0,2010-11,Other,Q2,Occasional (2-3),10,2,343.8,4,2,2,422,Recent Customers
12353,2010-10-27 12:44:00,2010-10-27 12:44:00,20,1,192,317.76,1.939,1,20,1,Bahrain,0,0.0,0,317.76,20.0,317.76,0.0,2010-10,Other,Q2,One-time,43,1,317.76,3,1,2,312,Recent Customers
12355,2010-05-21 11:59:00,2010-05-21 11:59:00,22,1,303,488.21000000000004,2.399090909090909,1,22,1,Bahrain,0,0.0,0,488.21000000000004,22.0,488.21000000000004,0.0,2010-05,Other,Q2,One-time,202,1,488.21000000000004,1,1,2,112,At Risk
12356,2010-10-11 09:42:00,2010-11-24 12:24:00,81,3,1803,3124.3,2.6349382716049385,1,67,3,Portugal,0,0.0,44,3124.3,27.0,1041.4333333333334,0.0,2010-10,EU,Q4 (Highest),Occasional (2-3),15,3,3124.3,4,3,4,434,Champions
12357,2010-11-16 10:05:00,2010-11-16 10:05:00,164,1,3878,11229.99,3.3270731707317074,1,164,1,Switzerland,0,0.0,0,11229.99,164.0,11229.99,0.0,2010-11,Other,Q4 (Highest),One-time,23,1,11229.99,3,1,4,314,Potential Loyalists
