customer_id,last_purchase_date,first_purchase_date,frequency_orders,purchase_lines,monetary_total_spend,total_quantity,recency_days,tenure_days,tenure_since_first,avg_order_value,avg_qty_per_order,is_one_time_buyer,purchase_frequency_rate,recency_to_tenure_ratio,return_lines,return_invoices,returned_quantity,return_value,unique_products,unique_descriptions,unique_countries,avg_unit_price,max_unit_price,distinct_active_days,active_months,net_spend,return_invoice_ratio,return_value_ratio,avg_gap_days,median_gap_days,max_gap_days,snapshot_date
12346,2010-06-28 13:53:00,2010-03-02 13:08:00,2,24,169.36,24,165,118,283,84.68,12.0,0,0.007067137809187279,0.5830388692579506,1.0,1.0,1.0,103.5,24,24,1,7.0566666666666675,7.49,2,2,65.86000000000001,0.5,0.6111242324043458,118.0,118.0,118.0,2010-12-10
12347,2010-12-07 14:57:00,2010-10-31 14:20:00,2,71,1323.32,828,3,37,40,661.66,414.0,0,0.05,0.075,0.0,0.0,0.0,0.0,70,70,1,2.295070422535211,12.75,2,2,1323.32,0.0,0.0,37.0,37.0,37.0,2010-12-10
12348,2010-09-27 14:59:00,2010-09-27 14:59:00,1,19,221.16,372,74,0,74,221.16,372.0,1,0.013513513513513514,1.0,0.0,0.0,0.0,0.0,19,19,1,0.7047368421052632,1.45,1,1,221.16,0.0,0.0,74.0,74.0,74.0,2010-12-10
12349,2010-10-28 08:23:00,2010-04-29 13:20:00,2,100,2221.14,991,43,181,225,1110.57,495.5,0,0.008888888888888889,0.19111111111111112,5.0,1.0,5.0,24.15,89,93,1,4.2534,34.95,2,2,2196.99,0.5,0.01087279505118993,181.0,181.0,181.0,2010-12-10
12351,2010-11-29 15:23:00,2010-11-29 15:23:00,1,21,300.93,261,11,0,11,300.93,261.0,1,0.09090909090909091,1.0,0.0,0.0,0.0,0.0,21,21,1,2.355238095238095,12.75,1,1,300.93,0.0,0.0,11.0,11.0,11.0,2010-12-10
12352,2010-11-29 10:07:00,2010-11-12 10:20:00,2,18,343.8,188,11,16,28,171.9,94.0,0,0.07142857142857142,0.39285714285714285,0.0,0.0,0.0,0.0,18,18,1,3.033333333333333,12.75,2,1,343.8,0.0,0.0,16.0,16.0,16.0,2010-12-10
12353,2010-10-27 12:44:00,2010-10-27 12:44:00,1,20,317.76,192,44,0,44,317.76,192.0,1,0.022727272727272728,1.0,0.0,0.0,0.0,0.0,20,20,1,1.939,4.95,1,1,317.76,0.0,0.0,44.0,44.0,44.0,2010-12-10
12355,2010-05-21 11:59:00,2010-05-21 11:59:00,1,22,488.21000000000004,303,203,0,203,488.21000000000004,303.0,1,0.0049261083743842365,1.0,0.0,0.0,0.0,0.0,22,22,1,2.399090909090909,9.95,1,1,488.21000000000004,0.0,0.0,203.0,203.0,203.0,2010-12-10
12356,2010-11-24 12:24:00,2010-10-11 09:42:00,3,81,3124.3,1803,16,44,60,1041.4333333333334,601.0,0,0.05,0.26666666666666666,0.0,0.0,0.0,0.0,67,67,1,2.6349382716049385,12.75,3,2,3124.3,0.0,0.0,21.5,21.5,31.0,2010-12-10
12357,2010-11-16 10:05:00,2010-11-16 10:05:00,1,164,11229.99,3878,24,0,24,11229.99,3878.0,1,0.041666666666666664,1.0,0.0,0.0,0.0,0.0,164,164,1,3.3270731707317074,14.95,1,1,11229.99,0.0,0.0,24.0,24.0,24.0,2010-12-10
