feature,importance_mean,importance_std
active_months,0.021244295131845857,0.007229570361302029
recency_to_tenure_ratio,0.009384508113590262,0.0055641880661211
unique_products,0.00887212643678158,0.005180656480618955
recency_days,0.005893973968897926,0.0043167783294669375
distinct_active_days,0.004598757606490899,0.004076490003625609
return_invoice_ratio,0.003477856659905354,0.0012627627621764877
tenure_days,0.0033595334685598164,0.003318748515426395
purchase_lines,0.003246492562542236,0.0033092547530229085
avg_gap_days,0.002931668356997985,0.0020092371955026792
median_gap_days,0.0025259888438134205,0.0019327705167945903
return_lines,0.0008261494252873702,0.0013486269281023267
max_gap_days,0.0007236730899256583,0.0005583303128385573
avg_unit_price,0.0007205037187289154,0.0016341843947132663
return_value,0.000697261663285964,0.0004910423350882222
net_spend,0.0003063725490196845,0.0007169600555907707
tenure_since_first,0.00025143678160920445,0.0011278964416744307
monetary_total_spend,0.00023558992562544567,0.000655923726080206
avg_order_value,0.00022925118323192662,0.00035207293588330926
frequency_orders,0.00013205713319816014,0.0004541106687290811
max_unit_price,1.4790398918218539e-05,0.00047479959111519285
unique_countries,0.0,0.0
purchase_frequency_rate,-9.508113590173117e-06,5.689195409797987e-06
is_one_time_buyer,-3.591954022987842e-05,0.0019230664488647969
returned_quantity,-7.81778228532204e-05,7.137147461992331e-05
total_quantity,-0.000140508789722793,0.0002238118692827572
return_value_ratio,-0.00033278397565922324,0.00017082293329379706
return_invoices,-0.0005155510480054249,0.0005354851454964927
avg_qty_per_order,-0.0005704868154157827,0.0004835296772719666
