frequency_orders,purchase_lines,monetary_total_spend,total_quantity,unique_products,unique_countries,avg_unit_price,max_unit_price,recency_days,tenure_days,tenure_since_first,avg_order_value,avg_qty_per_order,is_one_time_buyer,purchase_frequency_rate,recency_to_tenure_ratio,distinct_active_days,active_months,avg_gap_days,median_gap_days,max_gap_days,return_lines,return_invoices,returned_quantity,return_value,net_spend,return_invoice_ratio,return_value_ratio,churn_label
2,87,424.57,227,78,1,2.5757471264367817,15.95,97,151,248,212.285,113.5,0,0.0080645161290322,0.3911290322580645,2,2,151.0,151.0,151.0,1.0,1.0,1.0,0.95,423.62,0.5,0.0022375579998586,0
1,7,139.95000000000002,25,7,1,5.635714285714286,5.95,1,0,1,139.95000000000002,25.0,1,1.0,1.0,1,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,139.95000000000002,0.0,0.0,1
1,7,241.9,198,7,1,1.97,4.65,141,0,141,241.9,198.0,1,0.0070921985815602,1.0,1,1,141.0,141.0,141.0,0.0,0.0,0.0,0.0,241.9,0.0,0.0,1
6,155,2852.48,1509,130,1,4.340258064516129,125.0,20,233,253,475.41333333333336,251.5,0,0.0237154150197628,0.0790513833992094,6,6,46.6,42.0,73.0,1.0,1.0,2.0,13.5,2838.98,0.1666666666666666,0.0047327238052501,0
1,2,38.25,3,2,1,12.75,12.75,112,0,112,38.25,3.0,1,0.0089285714285714,1.0,1,1,112.0,112.0,112.0,0.0,0.0,0.0,0.0,38.25,0.0,0.0,1
4,68,1391.02,1337,52,1,1.5894117647058823,12.75,24,143,167,347.755,334.25,0,0.0239520958083832,0.1437125748502994,4,4,47.666666666666664,36.0,87.0,0.0,0.0,0.0,0.0,1391.02,0.0,0.0,0
4,75,803.63,342,53,1,3.3913333333333333,12.75,59,187,247,200.9075,85.5,0,0.0161943319838056,0.2388663967611336,4,4,62.666666666666664,65.0,77.0,5.0,2.0,5.0,22.3,781.33,0.5,0.0277490885108818,0
2,41,302.6,152,37,1,2.6529268292682926,8.95,6,238,244,151.3,76.0,0,0.0081967213114754,0.0245901639344262,2,2,238.0,238.0,238.0,1.0,1.0,1.0,2.95,299.65000000000003,0.5,0.0097488433575677,1
1,35,704.4,349,35,1,3.4937142857142858,16.95,168,0,168,704.4,349.0,1,0.0059523809523809,1.0,1,1,168.0,168.0,168.0,0.0,0.0,0.0,0.0,704.4,0.0,0.0,1
2,47,373.2,185,43,1,3.2806382978723403,10.75,37,125,162,186.6,92.5,0,0.0123456790123456,0.228395061728395,2,2,125.0,125.0,125.0,0.0,0.0,0.0,0.0,373.2,0.0,0.0,0
